City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,chichimila,20.6167,-88.2167,33.03,63,0,3.3,MX,1712450076
336,pacific grove,36.6177,-121.9166,15.49,63,0,4.63,US,1712449803
337,obala,4.1667,11.5333,22.53,93,100,0.65,CM,1712450076
338,choyr,46.3611,108.3611,7.27,47,96,1.57,MN,1712450077
339,acapulco de juarez,16.8634,-99.8901,26.9,74,0,5.14,MX,1712449843
340,punta del este,-34.9667,-54.95,20.06,82,0,3.13,UY,1712449911
341,amahai,-3.3333,128.9167,28.35,76,100,0.52,ID,1712450077
342,malvan,16.0667,73.4667,25.88,74,4,4.75,IN,1712450077
343,lorengau,-2.0226,147.2712,28.9,78,100,4.2,PG,1712450077
344,port augusta,-32.5,137.7667,18.81,58,96,4.98,AU,1712450050
345,port saint john's,-31.6229,29.5448,19.17,82,100,3.45,ZA,1712450078
346,bojnurd,37.4747,57.329,8.97,76,0,0.0,IR,1712450078
347,colonel hill,22.7667,-74.2167,24.11,71,0,5.24,BS,1712450078
348,florence,43.7667,11.25,15.05,79,0,0.51,IT,1712449796
349,buy,58.4786,41.53,0.95,92,100,2.99,RU,1712450078
350,nemuro,43.3236,145.575,4.73,89,100,7.76,JP,1712450079
351,constantia,44.1833,28.65,11.5,91,100,2.65,RO,1712449991
352,chegdomyn,51.1167,133.0167,-4.79,88,100,4.91,RU,1712449938
353,santiago de la pena,20.95,-97.4,29.9,73,78,6.32,MX,1712449791
354,mersing,2.4312,103.8405,24.95,94,20,1.54,MY,1712450079
355,oulad teima,30.3947,-9.209,16.6,84,82,1.5,MA,1712450079
356,tieling,42.2931,123.8414,15.99,40,3,3.99,CN,1712450079
357,melfi,40.9965,15.6514,10.83,79,0,2.37,IT,1712450080
358,mili,6.0815,171.735,28.04,80,97,9.73,MH,1712450080
359,ntui,4.45,11.6333,22.69,88,76,0.43,CM,1712450081
360,vernon,50.2581,-119.2691,14.4,32,52,3.58,CA,1712449815
361,markovo,57.3206,107.0881,-5.35,82,32,1.26,RU,1712450081
362,shimoda,34.6667,138.95,17.84,78,100,3.7,JP,1712450081
363,susuman,62.7833,148.1667,-16.12,93,59,0.45,RU,1712449961
364,hammerfest,70.6634,23.6821,-1.75,86,100,5.66,NO,1712450082
